product_name,barcode,category_level1,category_level2,category_level3,category_level4
PANTHENOL EXTRA SUN CARE FACE & BODY MILK SPF50 200 ML,5200312246393,ΠΕΡΙΠΟΙΗΣΗ ΔΕΡΜΑΤΟΣ,ΑΝΤΗΛΙΑΚΗ ΠΡΟΣΤΑΣΙΑ,BODY SUNSCREEN,
PANTHENOL EXTRA SUN CARE DIAPHANOUS SPF30 50 ML,5200312246416,ΠΕΡΙΠΟΙΗΣΗ ΔΕΡΜΑΤΟΣ,ΑΝΤΗΛΙΑΚΗ ΠΡΟΣΤΑΣΙΑ,FACE SUNSCREEN,
PANTHENOL EXTRA SUN CARE DIAPHANOUS  SUNSCREEN FACIAL GEL SPF50 50 ML,5200312246423,ΠΕΡΙΠΟΙΗΣΗ ΔΕΡΜΑΤΟΣ,ΑΝΤΗΛΙΑΚΗ ΠΡΟΣΤΑΣΙΑ,FACE SUNSCREEN,
PANTHENOL EXTRA SUN CARE COLOR SPF30 50 ML,5200312246430,ΠΕΡΙΠΟΙΗΣΗ ΔΕΡΜΑΤΟΣ,ΑΝΤΗΛΙΑΚΗ ΠΡΟΣΤΑΣΙΑ,FACE SUNSCREEN,
PANTHENOL EXTRA SUN CARE TINTED FACE SUNSCREEN GEL SPF30 50 ML,5200312246447,ΠΕΡΙΠΟΙΗΣΗ ΔΕΡΜΑΤΟΣ,ΑΝΤΗΛΙΑΚΗ ΠΡΟΣΤΑΣΙΑ,FACE SUNSCREEN,
PANTHENOL EXTRA SUN CARE FACE & BODY MILK SPF30 100 ML,5200312246560,ΠΕΡΙΠΟΙΗΣΗ ΔΕΡΜΑΤΟΣ,ΑΝΤΗΛΙΑΚΗ ΠΡΟΣΤΑΣΙΑ,BODY SUNSCREEN,
PANTHENOL EXTRA SUN CARE FACE & BODY MILK SUNSCREEN MILK SPF50 WITH COCONUT 100 ML,5200312246577,ΠΕΡΙΠΟΙΗΣΗ ΔΕΡΜΑΤΟΣ,ΑΝΤΗΛΙΑΚΗ ΠΡΟΣΤΑΣΙΑ,BODY SUNSCREEN,
"PANTHENOL EXTRA PROMO LIMITED EDITION PATH OF BARE BEAUTY STAR LIGHT BATH CONFETTI 1 PC, 3IN1 SHOWER GEL 200 ML, SUPERFOOD BODY CREAM 100 ML & WOMEN'S PERFUME 50 ML",5200312246645,ΠΕΡΙΠΟΙΗΣΗ ΔΕΡΜΑΤΟΣ,BEAUTY COFFRET,WOMEN BEAUTY COFFRET,WOM. BODY BEAUTY COFFR.
PANTHENOL EXTRA PANTHENOL EXTRA MEN PROMO LIMITED EDITION PATH OF PURITY MEN 3IN1 CLEANSER 200 ML & MEN EDT 50 ML,5200312246676,ΠΕΡΙΠΟΙΗΣΗ ΔΕΡΜΑΤΟΣ,BEAUTY COFFRET,MEN BEAUTY COFFRET,
PANTHENOL EXTRA PANTHENOL EXTRA MEN MEN PROMO PATH OF FIRE WITH MEN BLUE FLAMES 3IN1 CLEANSER MEN'S SHAMPOO - SHOWER GEL 200 ML & BLUE FLAMES EDT MEN'S PERFUME 50 ML,5200312246683,ΠΕΡΙΠΟΙΗΣΗ ΔΕΡΜΑΤΟΣ,BEAUTY COFFRET,MEN BEAUTY COFFRET,
